event_id,organisation_id,deal_id,deal_match_id,provider_id,actor_user_id,event_type,previous_status,new_status,metadata,created_at,synthetic
EV-S-011,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-HARBOUR,CP-HARBOUR-CREDIT,USR-ALEX-001,DECLINE_RECORDED,CONTACTED,DECLINED,reason=LEVERAGE_TOO_HIGH,2026-09-26T11:00:00+12:00,true
EV-S-012,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-PACIFIC,CP-PACIFIC-CAPITAL,USR-JORDAN-001,PROVIDER_MATCHED,,NOT_CONTACTED,Score 79 is illustrative only,2026-09-25T09:00:00+12:00,true
EV-S-013,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-PACIFIC,CP-PACIFIC-CAPITAL,USR-JORDAN-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Initial approach sent in fictional demo,2026-09-25T12:00:00+12:00,true
EV-S-014,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-PACIFIC,CP-PACIFIC-CAPITAL,USR-JORDAN-001,FOLLOW_UP_SET,,,next_follow_up_at=2026-09-29T09:00:00+12:00,2026-09-26T12:01:00+12:00,true
EV-S-015,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-KAURI,CP-KAURI-PRIVATE-CREDIT,USR-ALEX-001,PROVIDER_MATCHED,,NOT_CONTACTED,Score 74 is illustrative only,2026-09-25T09:00:00+12:00,true
EV-S-016,ORG-DEMO-001,DEAL-SOUTHERN-001,,,USR-ALEX-001,NOTE_ADDED,,,note_id=NOTE-SOUTHERN-001,2026-09-25T09:10:00+12:00,true
EV-S-017,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-HARBOUR,CP-HARBOUR-CREDIT,USR-ALEX-001,NOTE_ADDED,,,note_id=NOTE-SOUTHERN-002,2026-09-26T11:01:00+12:00,true
EV-F-001,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-ABC,CP-ABC-PRIVATE-CREDIT,USR-ALEX-001,PROVIDER_MATCHED,,NOT_CONTACTED,Historical synthetic match; score not supplied,2025-07-01T09:00:00+12:00,true
EV-F-002,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-ABC,CP-ABC-PRIVATE-CREDIT,USR-ALEX-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Historical synthetic contact,2025-07-02T10:00:00+12:00,true
EV-F-003,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-ABC,CP-ABC-PRIVATE-CREDIT,USR-ALEX-001,STATUS_CHANGED,CONTACTED,INTERESTED,Historical synthetic response,2025-07-03T10:00:00+12:00,true
EV-F-004,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,PROVIDER_MATCHED,,NOT_CONTACTED,Historical synthetic match; score not supplied,2025-07-01T09:00:00+12:00,true
EV-F-005,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Historical synthetic contact,2025-07-03T11:00:00+12:00,true
EV-F-006,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,DECLINE_RECORDED,CONTACTED,DECLINED,reason=RETURN_TOO_LOW,2025-07-04T10:00:00+12:00,true
EV-F-007,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-HARBOUR,CP-HARBOUR-CREDIT,USR-ALEX-001,PROVIDER_MATCHED,,NOT_CONTACTED,Historical synthetic match; score not supplied,2025-07-01T09:00:00+12:00,true
EV-F-008,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-HARBOUR,CP-HARBOUR-CREDIT,USR-ALEX-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Historical synthetic contact,2025-07-02T12:00:00+12:00,true
EV-F-009,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-HARBOUR,CP-HARBOUR-CREDIT,USR-ALEX-001,STATUS_CHANGED,CONTACTED,INTERESTED,Historical synthetic response,2025-07-04T12:00:00+12:00,true
EV-F-010,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-PACIFIC,CP-PACIFIC-CAPITAL,USR-JORDAN-001,PROVIDER_MATCHED,,NOT_CONTACTED,Historical synthetic match; score not supplied,2025-07-01T09:00:00+12:00,true
EV-F-011,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-PACIFIC,CP-PACIFIC-CAPITAL,USR-JORDAN-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Historical synthetic contact,2025-07-02T13:00:00+12:00,true
EV-F-012,ORG-DEMO-001,DEAL-FAB-002,MATCH-FAB-KAURI,CP-KAURI-PRIVATE-CREDIT,USR-ALEX-001,PROVIDER_MATCHED,,NOT_CONTACTED,Historical synthetic match; score not supplied,2025-07-01T09:00:00+12:00,true
EV-H-001,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-ABC,CP-ABC-PRIVATE-CREDIT,USR-ALEX-001,PROVIDER_MATCHED,,NOT_CONTACTED,Historical synthetic match; score not supplied,2025-03-01T09:00:00+12:00,true
EV-H-002,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-ABC,CP-ABC-PRIVATE-CREDIT,USR-ALEX-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Historical synthetic contact,2025-03-02T09:00:00+12:00,true
EV-H-003,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-ABC,CP-ABC-PRIVATE-CREDIT,USR-ALEX-001,TERMS_RECEIVED,CONTACTED,TERMS_RECEIVED,Historical synthetic terms,2025-03-04T10:00:00+12:00,true
EV-H-004,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,PROVIDER_MATCHED,,NOT_CONTACTED,Historical synthetic match; score not supplied,2025-03-01T09:00:00+12:00,true
EV-H-005,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Historical synthetic contact,2025-03-03T10:00:00+12:00,true
EV-H-006,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,STATUS_CHANGED,CONTACTED,WAITING,Historical synthetic response,2025-03-04T11:00:00+12:00,true
EV-H-007,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-PACIFIC,CP-PACIFIC-CAPITAL,USR-JORDAN-001,PROVIDER_MATCHED,,NOT_CONTACTED,Historical synthetic match; score not supplied,2025-03-01T09:00:00+12:00,true
EV-H-008,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-PACIFIC,CP-PACIFIC-CAPITAL,USR-JORDAN-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Historical synthetic contact,2025-03-03T11:00:00+12:00,true
EV-H-009,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-PACIFIC,CP-PACIFIC-CAPITAL,USR-JORDAN-001,DECLINE_RECORDED,CONTACTED,DECLINED,reason=WRONG_SECTOR,2025-03-05T12:00:00+12:00,true
EV-H-010,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-KAURI,CP-KAURI-PRIVATE-CREDIT,USR-ALEX-001,PROVIDER_MATCHED,,NOT_CONTACTED,Historical synthetic match; score not supplied,2025-03-01T09:00:00+12:00,true
EV-H-011,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-KAURI,CP-KAURI-PRIVATE-CREDIT,USR-ALEX-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Historical synthetic contact,2025-03-03T13:00:00+12:00,true
EV-H-012,ORG-DEMO-001,DEAL-HEALTH-003,MATCH-HEALTH-KAURI,CP-KAURI-PRIVATE-CREDIT,USR-ALEX-001,DECLINE_RECORDED,CONTACTED,DECLINED,reason=DEAL_TOO_SMALL,2025-03-05T14:00:00+12:00,true
EV-F-013,ORG-DEMO-001,DEAL-FAB-002,,,USR-ALEX-001,DEAL_CLOSED,,,Fictional historical deal closed; outcome recorded,2025-08-14T15:00:00+12:00,true
EV-H-013,ORG-DEMO-001,DEAL-HEALTH-003,,,USR-JORDAN-001,DEAL_CLOSED,,,Fictional historical refinance closed; outcome recorded,2025-04-21T15:00:00+12:00,true
